hive,cluster_dbscan,count,pct_within_hive
hive_01,-1,390,0.8441558441558441
hive_01,0,7,0.015151515151515152
hive_01,1,7,0.015151515151515152
hive_01,2,11,0.023809523809523808
hive_01,3,6,0.012987012987012988
hive_01,4,7,0.015151515151515152
hive_01,5,6,0.012987012987012988
hive_01,6,8,0.017316017316017316
hive_01,7,10,0.021645021645021644
hive_01,8,5,0.010822510822510822
hive_01,9,5,0.010822510822510822
hive_03,-1,276,0.5974025974025974
hive_03,10,8,0.017316017316017316
hive_03,11,5,0.010822510822510822
hive_03,12,121,0.2619047619047619
hive_03,13,5,0.010822510822510822
hive_03,14,9,0.01948051948051948
hive_03,15,6,0.012987012987012988
hive_03,16,17,0.0367965367965368
hive_03,17,7,0.015151515151515152
hive_03,18,8,0.017316017316017316
hive_04,-1,379,0.9668367346938775
hive_04,19,7,0.017857142857142856
hive_04,20,6,0.015306122448979591
