eps,min_samples,n_clusters,n_noise,noise_ratio,silhouette,davies_bouldin
0.8,5,0,1316,1.0,,
0.8,8,0,1316,1.0,,
0.8,10,0,1316,1.0,,
0.8,12,0,1316,1.0,,
0.8,15,0,1316,1.0,,
0.8,20,0,1316,1.0,,
1.0,5,0,1316,1.0,,
1.0,8,0,1316,1.0,,
1.0,10,0,1316,1.0,,
1.0,12,0,1316,1.0,,
1.0,15,0,1316,1.0,,
1.0,20,0,1316,1.0,,
1.2,5,0,1316,1.0,,
1.2,8,0,1316,1.0,,
1.2,10,0,1316,1.0,,
1.2,12,0,1316,1.0,,
1.2,15,0,1316,1.0,,
1.2,20,0,1316,1.0,,
1.4,5,0,1316,1.0,,
1.4,8,0,1316,1.0,,
1.4,10,0,1316,1.0,,
1.4,12,0,1316,1.0,,
1.4,15,0,1316,1.0,,
1.4,20,0,1316,1.0,,
1.6,5,0,1316,1.0,,
1.6,8,0,1316,1.0,,
1.6,10,0,1316,1.0,,
1.6,12,0,1316,1.0,,
1.6,15,0,1316,1.0,,
1.6,20,0,1316,1.0,,
1.8,5,2,1304,0.9908814589665653,0.8372710074566738,0.2099369658780431
1.8,8,0,1316,1.0,,
1.8,10,0,1316,1.0,,
1.8,12,0,1316,1.0,,
1.8,15,0,1316,1.0,,
1.8,20,0,1316,1.0,,
2.0,5,3,1293,0.9825227963525835,0.5908760405645903,0.5957109856084236
2.0,8,0,1316,1.0,,
2.0,10,0,1316,1.0,,
2.0,12,0,1316,1.0,,
2.0,15,0,1316,1.0,,
2.0,20,0,1316,1.0,,
2.2,5,7,1269,0.9642857142857143,0.4078978852291086,0.9861567368657634
2.2,8,2,1295,0.9840425531914894,0.8073287497714015,0.2621017521457222
2.2,10,1,1306,0.9924012158054711,,
2.2,12,0,1316,1.0,,
2.2,15,0,1316,1.0,,
2.2,20,0,1316,1.0,,
2.5,5,12,1200,0.9118541033434651,0.3811764977730394,0.9515416612614963
2.5,8,4,1272,0.9665653495440729,0.4599306302482368,0.8845700881295618
2.5,10,2,1290,0.9802431610942249,0.43947953083872443,0.8968971325786849
2.5,12,1,1300,0.9878419452887538,,
2.5,15,0,1316,1.0,,
2.5,20,0,1316,1.0,,
3.0,5,21,1045,0.7940729483282675,0.21947548376739548,0.9946310118910782
3.0,8,8,1155,0.8776595744680851,0.21719126594207808,0.977556852561979
3.0,10,3,1214,0.9224924012158054,0.26562064283286757,0.9840032963129092
3.0,12,3,1231,0.9354103343465046,0.26651560000540836,1.2555410405738596
3.0,15,2,1264,0.9604863221884499,0.3125000624500359,1.1882699356448572
3.0,20,1,1281,0.973404255319149,,
