candidate_rank,hive,timestamp_utc,hour_of_day,confidence_score,transition_excess,acoustic_200_600_score,modulation_score,explanatory_notes
1,hive_03,2026-03-11 07:46:05+00:00,7,0.9237,0.8,6.012,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
2,hive_03,2026-03-16 07:07:10+00:00,7,0.9158,0.8,2.8553,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
3,hive_04,2026-03-16 01:06:58+00:00,1,0.9104,0.8,1.808,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
4,hive_03,2026-03-10 21:14:04+00:00,21,0.909,0.85,2.5598,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_mid_180_280_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
5,hive_03,2026-03-10 22:44:45+00:00,22,0.895,0.85,2.2497,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_mid_180_280_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
6,hive_04,2026-03-11 08:09:19+00:00,8,0.8941,0.7368,2.1553,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_p50); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
7,hive_04,2026-03-11 07:38:37+00:00,7,0.8908,0.8,6.2041,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
8,hive_03,2026-03-11 08:16:56+00:00,8,0.8862,0.7368,1.7928,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_mid_180_280_power_p50); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
9,hive_04,2026-03-09 10:21:05+00:00,10,0.8849,0.5556,26.0585,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_mid_180_280_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
10,hive_04,2026-03-10 08:35:50+00:00,8,0.8763,0.7368,3.2224,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_p50); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
11,hive_03,2026-03-10 10:42:45+00:00,10,0.8719,0.5556,4.2747,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_p50); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
12,hive_03,2026-03-14 07:31:09+00:00,7,0.8698,0.8,2.8276,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
13,hive_04,2026-03-08 15:01:39+00:00,15,0.8681,0.5556,2.7608,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_high_450_530_power_p50); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
14,hive_03,2026-03-10 19:43:24+00:00,19,0.8628,0.9,2.0708,0.0,Cluster transitions exceed matched-hour control baseline; Strong 200-600 Hz proxy deviation (driver: band_mid_180_280_power_mean); Modulation features unavailable for this window (neutral contribution); High combined confidence after persistence smoothing
